Item,Category,Serving Size (g),Calories,Cal. From Fat,Total Fat (g),Sat. Fat (g),Trans Fat (g)*,Chol. (mg),Sodium (mg),Carbohydrate(g),Dietary Fiber (g),Sugars (g),Protein(g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
Chocolate Chip,Dessert,45,200,90,10,5,0,15,130,30,1,18,2,4,0,0,10
Chocolate Chunk**,Dessert,45,210,90,10,5,0,10,100,30,<1,17,2,0,0,0,8
Double Chocolate Chip**,Dessert,45,210,80,9,5,0,15,130,30,1,20,2,6,0,2,10
Chocolate Chip with Rainbow Gems®**,Dessert,45,210,90,10,5,0,15,100,30,<1,18,2,0,0,2,8
Oatmeal Raisin,Dessert,45,200,70,8,3.5,0,15,130,30,1,16,3,0,0,2,8
Peanut Butter**,Dessert,45,220,110,12,5,0,10,130,26,1,16,4,4,0,2,10
Raspberry Cheesecake,Dessert,45,200,80,9,4.5,0,10,120,29,0,16,2,6,0,2,4
Sugar**,Dessert,45,230,110,12,6,0,15,130,28,<1,14,2,0,0,0,4
White Chip Macadamia Nut,Dessert,45,220,100,11,5,0,15,130,28,<1,17,2,6,0,2,6
Apple Slices - 1 package,Dessert,71,35,0,0,0,0,0,0,9,2,7,0,0,30,4,0
Biscuits**,Dessert,64,210,90,10,4.5,0,0,620,27,1,1,4,0,0,4,8
"Brownie, Gluten Free**",Dessert,80,350,140,16,1.5,0,55,170,48,2,34,3,0,0,2,0
Brownie**,Dessert,86,370,150,17,6,0,30,125,51,1,32,5,0,0,0,0
Cinnamon Rolls**,Dessert,128,480,230,25,11,0,35,270,35,3,27,8,15,2,6,15
Croissant**,Dessert,85,260,100,11,7,0,30,300,34,1,4,5,8,0,4,10
"Muffin, Apple Cinnamon Pecan**",Dessert,113,480,230,25,5,0,65,380,57,2,35,6,2,0,6,15
"Muffin, Banana Bread**",Dessert,113,460,230,25,3.5,0,40,330,53,2,29,6,0,2,8,15
"Muffin, Blueberry Crumb**",Dessert,113,410,150,17,5,0,45,410,60,1,34,5,0,0,6,15
"Muffin, Chocolate Chunk**",Dessert,113,510,240,27,8,0,75,380,63,2,40,5,2,0,6,20
"Muffin, Triple Berry**",Dessert,113,400,150,17,4.5,0,50,430,55,5,30,7,0,6,6,8
Beef Chili,Soup,255,360,220,22,8,1.5,71,800,20,5,6,21,80,20,8,20
Black Bean,Soup,255,210,10,1,0,0,0,860,39,15,6,12,0,4,10,15
Broccoli Cheddar,Soup,255,170,70,9,5,0,25,630,18,1,4,5,25,30,15,2
Chicken Tortilla,Soup,227,110,40,4.5,1,0,10,660,12,2,3,6,10,35,8,10
Creamy Chicken & Dumpling,Soup,245,150,40,4.5,2,0,35,740,20,3,3,8,20,10,4,6
Creamy Chicken & Wild Rice,Soup,240,190,90,11,6,0.5,40,820,16,1,3,7,30,10,6,2
French Onion (includes bread & cheese),Soup,219,150,60,6,3.5,0,15,940,19,1,1,5,110,30,25,2
Homestyle Chicken Noodle,Soup,255,110,30,3,1.5,0,30,720,14,1,2,8,15,10,2,4
Loaded Baked Potato,Soup,255,210,120,13,7,0,35,800,15,1,4,5,6,4,6,2
Tomato Basil,Soup,236,130,60,6,3.5,0,20,700,15,2,7,4,6,20,10,6
